listings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
host_response_rate,host_listings_count,host_total_listings_count,zipcode,latitude,longitude,accommodates,bathrooms,bedrooms,beds,square_feet,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,cancellation_policy,calculated_host_listings_count,reviews_per_month
100%,12,12,100022,39.89394464393299,116.45029806950856,9,2,3,4,,$ 876.00,"$ 8,913.00","$ 29,161.00",$ 685.00,$ 68.00,7,$ 68.00,1,1125,20,32,62,337,68,89,9,9,10,10,9,9,strict_14_with_grace_period,12,1.34
50%,1,1,100018,39.989255992230845,116.56392803512249,2,1,1,,,$ 240.00,,,,,1,$ 0.00,1,1125,30,60,90,365,0,,,,,,,,flexible,1,
N/A,1,1,100027,39.98183522435669,116.42444506053481,4,2,2,2,,"$ 1,369.00",,,,,1,$ 0.00,7,1125,27,57,87,87,0,,,,,,,,flexible,1,
100%,1,1,100089,39.956910019521054,116.30551077632045,1,1,1,1,,$ 157.00,,,$ 700.00,$ 60.00,1,$ 60.00,2,30,0,0,3,3,35,100,10,10,10,10,10,10,moderate,1,1.62
100%,5,5,100089,39.961751473687244,116.3046622928793,6,1,1,6,,$ 110.00,,,$ 0.00,$ 0.00,1,$ 99.00,1,1125,0,0,28,28,85,96,10,10,10,10,10,10,moderate,5,1.69
83%,9,9,100024,39.910045316904025,116.57760402598434,2,1,1,1,,$ 335.00,$ 280.00,"$ 1,086.00",$ 653.00,$ 0.00,1,$ 39.00,1,1125,26,56,86,361,17,95,9,9,10,10,9,9,moderate,9,0.35
83%,9,9,100024,39.908924625781346,116.57295390516506,2,1,1,1,,$ 335.00,$ 290.00,"$ 1,186.00",$ 653.00,$ 0.00,1,$ 39.00,1,1125,26,56,86,361,6,97,10,9,10,10,9,10,moderate,9,0.14
60%,3,3,1000000,40.44715479054242,116.4470317900782,8,1,3,4,,"$ 1,499.00","$ 1,000.00","$ 3,000.00","$ 2,000.00",$ 250.00,1,$ 0.00,2,1125,29,59,89,98,26,95,10,9,10,10,10,9,strict_14_with_grace_period,2,0.52
89%,1,1,100194,40.045428583756085,116.29498099915416,1,1,1,1,,$ 308.00,"$ 1,369.00","$ 4,792.00",,,1,$ 0.00,1,1125,29,59,89,364,7,93,9,9,10,10,9,9,flexible,1,0.16
N/A,1,1,,40.0362866673363,116.3324981886995,8,1,3,4,,$ 568.00,,,$ 800.00,$ 300.00,5,$ 100.00,2,8,29,59,89,364,1,83,6,10,10,10,6,8,moderate,1,0.02
96%,125,125,100020,39.92315768292052,116.45600222681018,2,1,1,1,,$ 616.00,,,,,1,$ 0.00,30,365,30,60,90,365,0,,,,,,,,strict_14_with_grace_period,95,
100%,1,1,100025,39.923401635305446,116.50636281284964,2,1,1,1,,$ 267.00,"$ 1,600.00","$ 6,000.00",$ 683.00,,1,$ 0.00,1,1125,13,43,73,348,23,92,10,9,9,10,10,9,flexible,1,0.48
100%,1,1,100021,39.88530453190729,116.46043163424105,1,1,1,1,,$ 397.00,,,,,1,$ 0.00,1,1125,30,60,90,365,1,,,,,,,,flexible,1,0.79
100%,1,1,100089,39.99006393923121,116.33790854703375,3,1,1,1,,$ 267.00,,,$ 700.00,$ 0.00,2,$ 80.00,1,30,17,33,33,33,81,97,10,10,10,10,10,10,flexible,1,4.95
100%,15,15,100075,39.86280240250473,116.42501617612558,6,2,2,4,,$ 787.00,"$ 5,944.00","$ 20,979.00",$ 800.00,$ 140.00,4,$ 65.00,2,365,11,11,11,11,104,96,10,10,10,10,10,9,strict_14_with_grace_period,15,2.12
98%,8,8,100015,39.976155370698756,116.49344439273825,2,1,1,1,,$ 390.00,,,$ 690.00,,1,$ 0.00,2,1125,17,47,77,352,28,92,9,9,10,9,10,9,moderate,7,0.65
100%,2,2,100020,39.91979229939705,116.45256602745197,2,0.5,0,1,,$ 192.00,,,,$ 55.00,1,$ 171.00,1,1125,0,0,0,0,18,94,9,9,9,9,9,9,flexible,2,0.36
N/A,5,5,100142,39.922593531578435,116.28612423080092,2,1,1,1,,$ 356.00,"$ 2,500.00","$ 8,000.00",$ 605.00,$ 60.00,1,$ 100.00,3,1125,0,0,0,0,0,,,,,,,,strict_14_with_grace_period,4,
100%,11,11,,40.16718781949994,116.2673293084533,5,1,2,2,,$ 424.00,"$ 2,471.00","$ 7,338.00","$ 5,476.00",$ 68.00,2,$ 82.00,3,1125,3,26,56,331,8,89,9,10,10,10,8,9,strict_14_with_grace_period,11,0.17
90%,27,27,100600,39.916571107307,116.4526906543518,2,1,1,1,,$ 602.00,,"$ 16,500.00","$ 16,500.00",,1,$ 0.00,31,365,30,60,90,365,0,,,,,,,,flexible,26,
90%,27,27,100600,39.919938458684825,116.45520317677095,4,2,2,2,,$ 883.00,,"$ 26,400.00","$ 27,000.00",,1,$ 0.00,31,365,30,60,90,365,0,,,,,,,,flexible,26,
90%,27,27,100020,39.91812365077245,116.45608547507872,6,2,3,3,,"$ 1,150.00",,"$ 36,870.00","$ 2,000.00",,1,$ 0.00,30,365,30,60,90,365,0,,,,,,,,flexible,26,
90%,27,27,,39.92082243622188,116.33888274262524,2,1,0,1,,$ 698.00,,"$ 15,660.00","$ 5,000.00",,1,$ 0.00,31,365,30,60,90,365,0,,,,,,,,flexible,26,
90%,27,27,100020,39.918435036898224,116.4557432942202,4,2,2,2,,$ 801.00,,,,,1,$ 0.00,30,365,30,60,90,365,0,,,,,,,,flexible,26,
90%,27,27,100600,39.9167840660481,116.45329058999312,2,1,1,1,,$ 650.00,,"$ 18,000.00","$ 15,000.00",,1,$ 0.00,31,365,30,60,90,365,0,,,,,,,,flexible,26,
98%,11,11,100067,39.84901584536433,116.3610328933452,2,1,1,1,,$ 240.00,,,,$ 68.00,1,$ 137.00,7,365,27,57,87,87,3,100,10,9,9,10,9,9,strict_14_with_grace_period,11,0.06
90%,27,27,,39.92223394446504,116.33542578408883,2,1,1,1,,$ 602.00,,"$ 15,600.00","$ 16,500.00",,1,$ 0.00,31,365,30,60,90,365,0,,,,,,,,flexible,26,
90%,27,27,100600,39.91637233605665,116.45280184187673,2,1,1,1,,$ 602.00,,"$ 17,400.00","$ 5,000.00",,1,$ 0.00,30,365,30,60,90,365,0,,,,,,,,flexible,26,
100%,1,1,100025,39.933327511665574,116.46206170467647,4,1,2,2,,$ 397.00,,,,,1,$ 0.00,1,1125,4,20,45,45,146,91,9,9,10,10,10,9,moderate,1,3.02
96%,3,3,100006,39.910171224059795,116.40390727264011,2,1,1,1,,$ 452.00,,,,,1,$ 0.00,3,30,18,48,78,78,172,95,9,9,10,10,10,9,strict_14_with_grace_period,3,3.51
100%,1,1,100025,39.91096424494123,116.49850942587489,2,2,1,2,,$ 212.00,"$ 1,500.00","$ 4,000.00",$ 0.00,$ 32.00,1,$ 50.00,1,1125,27,57,87,362,4,95,10,10,10,10,10,10,flexible,1,0.55
100%,1,1,100029,39.97382271452421,116.40949211915253,2,1,1,1,,$ 253.00,,,,,1,$ 0.00,1,5,2,2,28,28,5,100,10,10,10,10,10,10,flexible,1,1.81
98%,11,11,100068,39.84212361402898,116.3614838865552,2,0.5,1,1,,$ 137.00,,,,$ 31.00,1,$ 35.00,1,365,20,50,80,170,19,91,9,9,9,10,9,9,strict_14_with_grace_period,11,0.4
83%,9,9,100024,39.90804037759378,116.57144554431619,2,1,1,1,,$ 335.00,$ 186.00,$ 666.00,,,1,$ 0.00,1,1125,26,56,86,361,16,94,10,9,10,10,9,9,moderate,9,0.35
100%,1,1,100036,39.89085951515932,116.30019338569446,4,1,2,3,,$ 178.00,,,$ 0.00,$ 50.00,1,$ 60.00,1,1125,25,55,85,360,52,92,10,10,10,10,9,10,moderate,1,1.05
96%,3,3,100006,39.90877779240002,116.40294111520785,2,1,1,1,,$ 452.00,,,,,2,$ 0.00,3,30,17,47,77,77,171,95,10,10,10,10,10,9,strict_14_with_grace_period,3,3.51
100%,1,1,100020,39.91896674838533,116.45597835424867,2,1,1,1,,$ 753.00,"$ 4,500.00","$ 15,000.00",$ 0.00,$ 500.00,2,$ 0.00,2,180,21,51,81,171,54,99,10,10,10,10,10,10,moderate,1,1.21
N/A,2,2,101506,40.58463138111999,117.38840959280876,9,1,3,4,,"$ 1,999.00","$ 15,999.00","$ 41,999.00",$ 800.00,,1,$ 0.00,2,1125,29,59,89,364,0,,,,,,,,moderate,1,
90%,27,27,100025,39.90880544161921,116.4748718247822,2,1,1,1,,$ 500.00,,"$ 15,000.00","$ 1,000.00",,1,$ 0.00,30,365,30,60,90,365,0,,,,,,,,flexible,26,
90%,27,27,100025,39.90857824297735,116.47317000116789,4,2,2,2,,$ 801.00,,"$ 24,000.00","$ 2,000.00",,1,$ 0.00,30,365,30,60,90,365,0,,,,,,,,flexible,26,
90%,27,27,100025,39.91383148059376,116.49295923181195,2,1,1,1,,$ 698.00,,"$ 20,880.00","$ 1,500.00",,1,$ 0.00,30,365,30,60,90,365,0,,,,,,,,flexible,26,
90%,27,27,100026,39.91567428509826,116.46737665920864,6,2,3,3,,"$ 1,547.00",,"$ 45,000.00","$ 5,000.00",,1,$ 0.00,30,365,30,60,90,365,0,,,,,,,,flexible,26,
N/A,1,1,100009,39.933932006196166,116.39452381708941,1,1,1,1,,$ 787.00,,,,,1,$ 0.00,1,1125,30,60,90,365,0,,,,,,,,flexible,1,
100%,61,61,100025,39.919863369620785,116.5024791291936,6,2,3,3,,$ 623.00,"$ 4,011.00","$ 15,181.00",$ 0.00,$ 0.00,6,$ 100.00,5,365,4,33,63,338,0,,,,,,,,strict_14_with_grace_period,61,
100%,61,61,100025,39.91948732476889,116.49620785179542,4,2,2,2,,$ 582.00,"$ 3,857.00","$ 14,790.00",$ 0.00,$ 0.00,4,$ 100.00,5,365,14,44,74,349,2,80,9,9,9,10,9,9,strict_14_with_grace_period,61,0.05
90%,27,27,100020,39.92007610247733,116.45555474154388,6,2,3,3,,"$ 1,047.00",,,,,1,$ 0.00,30,365,30,60,90,365,0,,,,,,,,flexible,26,
90%,27,27,100600,39.94142936472559,116.44302206790043,4,2,2,2,,$ 951.00,,"$ 26,100.00","$ 2,000.00",,1,$ 0.00,30,365,30,60,90,365,0,,,,,,,,flexible,26,
90%,27,27,100020,39.91941782709676,116.45731389803902,8,3,4,3,,"$ 1,999.00",,"$ 60,000.00","$ 5,000.00",,1,$ 0.00,5,365,30,60,90,365,0,,,,,,,,flexible,26,
90%,27,27,100020,39.91697564315855,116.45995518461206,6,2,3,3,,$ 951.00,"$ 7,000.00","$ 31,350.00","$ 3,000.00",,1,$ 0.00,30,365,30,60,90,365,0,,,,,,,,flexible,26,
100%,61,61,,39.91817129483358,116.49784438417268,2,1,1,1,,$ 178.00,"$ 1,330.00","$ 4,765.00",$ 0.00,$ 0.00,2,$ 100.00,5,360,25,55,85,360,1,100,10,10,10,10,10,10,strict_14_with_grace_period,61,0.03
100%,61,61,,39.91782600239492,116.49780246739014,2,1,1,1,,$ 164.00,"$ 1,330.00","$ 4,765.00",$ 0.00,$ 0.00,2,$ 100.00,5,365,6,35,65,340,8,100,10,10,10,10,10,10,strict_14_with_grace_period,61,0.23
100%,61,61,,39.91926504427892,116.49616667467774,2,1,1,1,,$ 260.00,"$ 1,630.00","$ 5,843.00",$ 0.00,$ 0.00,2,$ 100.00,5,365,28,58,88,363,6,100,10,10,10,10,10,10,strict_14_with_grace_period,61,0.17
100%,61,61,100000,39.91967482309186,116.50426721954987,2,1,1,1,,$ 226.00,"$ 1,630.00","$ 6,248.00",$ 0.00,$ 0.00,2,$ 100.00,5,365,14,44,74,349,1,80,8,8,10,10,10,8,strict_14_with_grace_period,61,1
100%,61,61,100025,39.91854075810192,116.5021134404165,2,1,1,1,,$ 260.00,"$ 1,762.00","$ 6,758.00",$ 0.00,$ 0.00,2,$ 100.00,5,365,22,52,82,357,0,,,,,,,,strict_14_with_grace_period,61,
90%,27,27,100020,39.91878100061256,116.45636222350464,6,1,1,1,,$ 602.00,,,"$ 5,000.00",,1,$ 0.00,30,365,0,0,0,220,0,,,,,,,,flexible,26,
N/A,2,2,100005,39.91325810979099,116.50360212345952,2,1,1,1,,$ 178.00,,,"$ 1,000.00",$ 36.00,1,$ 32.00,2,1125,0,0,0,0,17,99,10,10,10,10,10,10,strict_14_with_grace_period,2,0.35
N/A,1,1,,39.861200910392355,116.38085458201303,2,1,2,3,,$ 301.00,,,,,1,$ 0.00,1,1125,0,0,0,0,0,,,,,,,,flexible,1,
N/A,1,1,,40.05729272516526,116.33499715438643,2,1,1,1,,$ 151.00,$ 800.00,"$ 3,000.00",,,1,$ 0.00,15,365,0,0,0,0,0,,,,,,,,moderate,1,
90%,27,27,100020,39.91732468735502,116.45876963433074,4,2,2,2,,$ 753.00,,"$ 22,500.00",,,1,$ 0.00,30,365,30,60,90,365,0,,,,,,,,flexible,26,
100%,1,1,100600,39.93783131159439,116.4561316104604,4,1,1,3,,$ 397.00,,"$ 9,000.00","$ 1,000.00",$ 200.00,1,$ 0.00,20,60,4,34,64,339,0,,,,,,,,moderate,1,
90%,27,27,100011,39.95319124457115,116.39350838702676,4,2,2,2,,$ 869.00,,"$ 26,100.00",,,1,$ 0.00,30,365,30,60,90,365,0,,,,,,,,flexible,26,
100%,1,1,100026,39.93142842501318,116.48696472948201,5,2,3,4,,$ 890.00,,,,,5,$ 68.00,3,1125,24,43,73,348,54,96,10,9,10,10,9,10,moderate,1,1.13
N/A,1,1,,40.448710240109136,116.44203449270044,5,2.5,2,2,,"$ 1,027.00","$ 4,313.00","$ 12,664.00",,$ 205.00,5,$ 137.00,7,90,23,53,83,83,12,83,9,9,10,10,9,8,strict_14_with_grace_period,1,0.3
100%,2,2,100020,39.92230228671139,116.45929836123678,2,1,1,1,,$ 199.00,,,$ 0.00,$ 70.00,1,$ 0.00,1,180,22,52,82,82,27,98,10,10,10,10,10,10,flexible,1,3.42
100%,2,2,100020,39.92030119105642,116.45199671394926,1,0.5,3,1,,$ 123.00,,,,$ 34.00,1,$ 0.00,1,60,29,59,89,364,29,95,10,9,10,10,9,10,strict_14_with_grace_period,2,0.6
100%,11,11,100220,40.165464582031845,116.27622159432593,2,1,1,1,,$ 178.00,$ 951.00,"$ 3,546.00","$ 1,369.00",$ 103.00,1,$ 68.00,1,1125,3,26,56,331,26,91,9,9,10,10,8,9,moderate,11,0.68
100%,11,11,100220,40.16158244077607,116.2782372911857,2,1,1,1,,$ 260.00,"$ 1,184.00","$ 4,169.00","$ 3,477.00",$ 205.00,1,$ 68.00,1,1125,3,26,56,331,21,90,9,9,9,9,8,9,strict_14_with_grace_period,11,0.45
92%,1,1,100027,39.94062565256625,116.44733224072806,1,1,1,1,,$ 370.00,,,"$ 1,000.00",$ 100.00,1,$ 0.00,1,1125,4,6,36,311,9,100,10,10,10,10,10,10,moderate,1,0.43
80%,1,1,100006,39.91231831882174,116.40439229119315,5,1,2,3,,$ 910.00,,,,,4,$ 150.00,3,60,9,9,14,14,149,97,10,10,10,10,10,10,strict_14_with_grace_period,1,3.14
N/A,2,2,100086,39.96979338995534,116.3246620381606,2,1,1,1,,$ 288.00,,,,$ 60.00,1,$ 0.00,2,1125,0,0,0,0,11,96,10,10,10,10,10,9,moderate,2,0.24
100%,5,5,100026,39.94379106118046,116.46094937019713,2,1,1,1,,$ 219.00,"$ 1,120.00","$ 3,880.00",$ 0.00,$ 60.00,1,$ 60.00,1,1125,30,60,90,365,17,98,10,10,10,10,10,10,moderate,5,0.36
100%,5,5,100125,39.943740007344815,116.46751078355919,2,1,1,1,,$ 219.00,"$ 1,120.00","$ 3,880.00",$ 0.00,$ 60.00,1,$ 60.00,1,1125,16,46,76,351,23,92,9,9,10,10,9,9,moderate,5,0.54
98%,11,11,,39.84463681100216,116.35596750228164,2,0.5,1,1,,$ 137.00,,,$ 685.00,$ 34.00,1,$ 34.00,1,1125,27,57,87,177,17,92,9,9,10,10,9,9,strict_14_with_grace_period,11,0.37
98%,11,11,100067,39.849217690320216,116.36280063855207,4,0.5,1,2,,$ 96.00,,,$ 650.00,$ 50.00,1,$ 40.00,1,1125,27,57,87,87,75,92,9,9,9,9,9,9,strict_14_with_grace_period,11,1.74
100%,7,7,100034,39.92523460210937,116.36982911475761,2,1,1,1,,$ 548.00,"$ 4,200.00","$ 18,000.00",,,1,$ 0.00,1,120,16,46,76,340,12,91,9,9,9,9,9,9,strict_14_with_grace_period,7,0.29
100%,2,2,102208,40.07508943661508,116.3345481199068,4,1,3,2,,$ 151.00,"$ 1,280.00","$ 5,000.00","$ 10,000.00",$ 200.00,1,$ 0.00,60,1125,29,59,89,364,1,100,10,10,10,10,10,10,flexible,2,0.05
100%,5,5,100001,39.92926948985006,116.4563316115579,1,1,1,1,,$ 308.00,"$ 2,099.00","$ 9,000.00",$ 0.00,$ 35.00,1,$ 0.00,2,91,21,51,81,81,79,98,10,10,10,10,10,10,moderate,4,1.69
100%,2,2,100123,39.92012552847933,116.51643013444706,2,1,1,1,,$ 397.00,,,,,1,$ 0.00,3,1125,20,50,80,355,0,,,,,,,,flexible,2,
100%,3,3,100034,39.92753282169085,116.37689615045007,2,1,1,1,,$ 370.00,,"$ 3,000.00",,,1,$ 0.00,1,3,30,60,90,180,0,,,,,,,,flexible,3,
100%,2,2,100025,39.92993904355789,116.4965913664136,1,1,1,1,,$ 363.00,,,,,2,$ 500.00,1,1125,15,44,74,349,2,100,10,10,10,10,9,9,flexible,2,0.05
100%,2,2,100007,39.929508863597476,116.42210312159735,2,1,1,1,,$ 678.00,,"$ 2,550.00",,$ 70.00,2,$ 80.00,2,30,18,48,78,353,12,100,10,10,10,10,10,10,moderate,2,0.39
100%,2,2,100044,39.93650277017044,116.32450223179295,3,1,1,3,,$ 390.00,"$ 4,000.00","$ 15,000.00",$ 800.00,$ 50.00,1,$ 80.00,1,300,11,41,71,346,3,100,10,10,10,10,10,10,flexible,2,0.13
100%,1,1,,39.951645563261216,116.44018195270017,2,1,1,1,,$ 322.00,,,$ 0.00,$ 80.00,1,$ 0.00,5,20,0,0,0,0,2,100,10,10,10,10,10,10,moderate,1,0.27
97%,4,4,100009,39.937887504095066,116.38590615552106,6,3,3,6,,$ 479.00,,,,,1,$ 289.00,1,1125,22,52,82,357,84,93,9,9,10,10,10,9,strict_14_with_grace_period,4,1.86
100%,1,1,100101,40.000038580625954,116.37377587180586,4,1,2,2,,$ 568.00,"$ 3,850.00","$ 16,500.00","$ 1,000.00",,4,$ 100.00,2,1125,19,49,79,354,1,,,,,,,,moderate,1,0.64
93%,1,1,100022,39.89325821275794,116.43915750190459,2,1,1,1,,$ 288.00,"$ 1,400.00","$ 5,600.00",$ 600.00,$ 70.00,1,$ 0.00,2,90,6,10,33,111,23,90,9,8,9,10,9,9,strict_14_with_grace_period,1,0.5
100%,5,5,100000,39.96085049407563,116.29981898126418,2,1,1,4,,$ 103.00,,,$ 0.00,$ 0.00,1,$ 100.00,1,1125,0,0,28,28,20,96,10,9,10,10,10,10,moderate,5,0.45
96%,8,8,100027,39.93956460467713,116.43535324154124,2,1,1,1,,$ 390.00,$ 425.00,"$ 1,760.00",$ 634.00,,2,$ 95.00,1,1125,17,47,77,352,28,84,9,8,8,9,9,9,flexible,8,0.67
N/A,1,1,100009,39.94321383085269,116.39707232687935,2,1,1,1,,$ 260.00,"$ 1,680.00","$ 6,000.00","$ 1,000.00",,1,$ 0.00,7,1125,0,0,0,0,0,,,,,,,,flexible,1,
0%,1,1,,39.895318247948204,116.30978988394251,6,1,3,3,,$ 479.00,,,$ 0.00,$ 60.00,1,$ 0.00,3,1125,0,0,0,0,7,70,8,7,8,8,8,8,flexible,1,0.17
100%,3,3,100034,39.926141131368674,116.37634187890646,2,0.5,1,1,,$ 527.00,,"$ 3,600.00",$ 0.00,$ 0.00,1,$ 0.00,1,1125,28,58,88,363,0,,,,,,,,flexible,3,
N/A,1,1,,39.9161428054808,116.42817224737647,1,1,1,1,,$ 103.00,,,,,1,$ 0.00,1,30,0,0,0,0,0,,,,,,,,flexible,1,
90%,27,27,100600,39.91822636396646,116.45349672012298,2,1,0,1,,$ 602.00,,,"$ 15,000.00",,1,$ 0.00,1,1125,30,60,90,365,0,,,,,,,,flexible,26,
100%,8,8,100084,40.00125516482497,116.31613613884033,1,0.5,1,2,,$ 123.00,"$ 1,128.00","$ 2,972.00",,,1,$ 0.00,2,1125,0,0,12,285,22,90,9,9,10,9,10,9,moderate,8,0.5
N/A,1,1,101102,39.750452959779615,116.55946757044946,6,1,2,3,,$ 342.00,"$ 1,999.00","$ 4,999.00",,,1,$ 0.00,1,1125,0,0,0,0,0,,,,,,,,flexible,1,
100%,1,1,,39.63300964488849,116.32569992639776,16,4,9,11,,"$ 3,299.00","$ 9,300.00","$ 37,200.00",,,1,$ 0.00,1,1125,29,59,89,364,4,70,9,6,9,10,8,7,strict_14_with_grace_period,1,0.19
100%,7,7,100027,39.93842491859146,116.43542299828692,2,1,0,1,,$ 418.00,,,,,1,$ 0.00,1,1125,0,0,0,0,111,98,10,10,10,10,10,10,moderate,7,2.49
100%,7,7,100055,39.88849462965942,116.34030473144858,2,1,1,2,,$ 137.00,,,$ 0.00,$ 0.00,1,$ 95.00,1,7,27,57,87,87,37,98,10,10,10,10,10,10,moderate,7,2.64
100%,1,1,100102,40.00201486476975,116.46267281840161,2,1,1,1,,$ 233.00,,,$ 0.00,$ 103.00,1,$ 68.00,1,10,21,45,75,323,175,99,10,10,10,10,9,10,strict_14_with_grace_period,1,3.97
100%,3,3,100191,39.97743243749128,116.36297834045601,3,1,1,2,,$ 246.00,"$ 1,660.00","$ 6,200.00",$ 700.00,$ 60.00,2,$ 100.00,2,1125,0,0,0,256,80,88,9,9,10,10,9,9,strict_14_with_grace_period,2,1.83
100%,2,2,100621,40.038488700184054,116.59472567253665,2,1,1,1,,$ 205.00,,,,$ 34.00,1,$ 50.00,1,1125,16,44,74,74,47,100,10,10,10,10,10,10,moderate,2,1.56
97%,4,4,100009,39.936328117061834,116.38573964298348,6,3,3,6,,$ 479.00,,,,,1,$ 289.00,1,1125,15,45,75,350,39,96,10,9,10,10,10,9,strict_14_with_grace_period,4,0.97
100%,3,3,101300,40.04553563438872,116.59374843027669,12,3,6,5,,"$ 1,198.00","$ 7,978.00","$ 27,924.00","$ 3,989.00",$ 239.00,6,$ 160.00,2,1125,29,59,89,364,3,80,10,8,10,6,8,6,flexible,1,0.07
100%,1,1,100016,39.98306635264713,116.48557423596544,2,2,1,1,,$ 192.00,"$ 1,200.00",,,$ 60.00,1,$ 100.00,1,1125,0,17,47,322,38,99,10,10,10,10,10,10,moderate,1,1.08
100%,4,4,100025,39.90959572253669,116.49771581159918,3,1,1,1,,$ 240.00,$ 310.00,"$ 1,200.00",$ 700.00,$ 100.00,1,$ 100.00,1,365,30,60,90,365,0,,,,,,,,moderate,4,
0%,3,3,102218,40.07994870607554,116.42650586182644,2,1,1,2,,$ 151.00,"$ 1,197.00","$ 3,989.00",,,1,$ 0.00,3,1125,30,60,90,365,0,,,,,,,,flexible,1,
75%,2,2,100083,39.990673326027135,116.34226694378029,1,0,1,1,,$ 226.00,,,,,1,$ 0.00,1,1125,26,55,85,360,47,93,10,9,10,10,9,9,flexible,2,1.06
100%,1,1,100081,39.95416639558447,116.31049932842978,2,1,1,1,,$ 342.00,,"$ 8,557.00",$ 650.00,$ 68.00,1,$ 0.00,1,1125,28,58,88,363,23,98,10,10,10,10,10,10,flexible,1,0.7
100%,8,8,100009,39.94278752224346,116.39908214653084,4,1,1,1,,"$ 1,609.00","$ 3,450.00","$ 12,075.00",,,1,$ 0.00,2,1125,16,26,56,331,15,93,9,10,10,10,10,9,moderate,7,0.34
N/A,1,1,101302,40.154184988046005,116.5501073798866,1,0.5,1,1,,$ 226.00,$ 150.00,$ 600.00,,,1,$ 226.00,1,1125,0,0,0,0,0,,,,,,,,flexible,1,
N/A,1,1,100102,39.98784838615291,116.4735703862443,3,1,1,1,,"$ 1,369.00","$ 6,845.00","$ 20,536.00",,,1,$ 0.00,1,1125,0,0,0,0,0,,,,,,,,flexible,1,
100%,2,2,100022,39.887759592026065,116.46131962183668,1,1,1,1,,$ 199.00,$ 792.00,"$ 2,963.00","$ 1,000.00",$ 150.00,1,$ 100.00,1,1125,0,0,0,90,30,97,10,10,10,10,10,10,strict_14_with_grace_period,2,0.71
100%,5,5,100027,39.928138768656396,116.45772433736211,2,1,0,1,,$ 376.00,"$ 2,388.00","$ 8,400.00",$ 0.00,$ 70.00,1,$ 0.00,1,120,5,35,65,65,77,98,10,10,10,10,10,10,moderate,4,1.73
83%,2,2,100123,39.92786579495698,116.61780388927122,2,2,1,1,,$ 356.00,,"$ 7,200.00",$ 650.00,$ 60.00,1,$ 0.00,1,1125,0,13,43,318,5,100,10,10,10,10,10,10,moderate,2,0.13
100%,3,3,100034,39.92574940719639,116.3761305280837,1,1,1,1,,$ 171.00,$ 550.00,"$ 1,900.00",,,1,$ 0.00,1,1125,30,60,90,180,1,,,,,,,,moderate,3,0.02
100%,1,1,100092,40.02806874478089,116.33770023297707,4,1,2,2,,$ 301.00,"$ 1,500.00","$ 5,000.00","$ 1,000.00",$ 100.00,4,$ 320.00,15,365,0,12,42,317,1,100,10,10,10,10,10,10,moderate,1,0.03
N/A,2,2,101400,40.28641742526252,116.63911950894988,2,1,1,1,,$ 267.00,"$ 5,000.00","$ 11,000.00",,$ 33.00,2,$ 200.00,1,300,30,60,90,365,1,100,10,10,10,10,10,10,flexible,2,0.22
100%,1,1,100009,39.94819973942768,116.4033289000811,2,1,1,1,,$ 219.00,"$ 1,200.00","$ 4,500.00",,$ 35.00,1,$ 0.00,2,30,9,35,59,140,94,98,10,10,10,10,10,10,strict_14_with_grace_period,1,2.19
100%,2,2,100600,39.91829828394507,116.45299580321563,3,1,1,1,,$ 650.00,"$ 4,200.00","$ 16,000.00",,,1,$ 0.00,1,1125,30,60,90,365,13,83,9,8,8,8,10,9,flexible,2,0.31
100%,2,2,100020,39.76241839139757,116.54323806830696,2,1,1,2,,$ 130.00,$ 500.00,"$ 1,900.00",,,1,$ 48.00,1,1125,27,54,84,359,11,100,10,10,10,10,9,10,strict_14_with_grace_period,1,0.31
90%,7,7,100022,39.89574960923937,116.46263506083143,1,1,1,1,,$ 246.00,$ 500.00,"$ 2,000.00",$ 800.00,$ 35.00,1,$ 35.00,1,1125,29,59,89,364,11,100,10,10,9,10,10,10,strict_14_with_grace_period,6,0.33
100%,12,12,102209,40.10616522661756,116.41911741004944,6,1,2,2,,$ 315.00,,,$ 600.00,,1,$ 0.00,1,1125,30,60,90,365,0,,,,,,,,moderate,12,
100%,12,12,100091,40.100900955193396,116.4224395582535,2,0.5,1,1,,$ 130.00,$ 490.00,"$ 1,850.00",$ 600.00,,1,$ 0.00,1,1125,30,60,90,365,3,73,7,7,6,7,7,7,moderate,12,0.08
100%,12,12,100000,40.10208600010563,116.42464401168661,2,0.5,1,1,,$ 89.00,,,,,1,$ 0.00,1,1125,30,60,90,365,0,,,,,,,,moderate,12,
100%,12,12,102209,40.101074860077155,116.42417904722346,1,0.5,1,1,,$ 103.00,$ 450.00,"$ 1,550.00",$ 600.00,,1,$ 0.00,1,1125,0,12,42,317,5,72,8,9,7,8,7,7,moderate,12,0.14
100%,12,12,102209,40.10165507858618,116.37122016991809,1,1,1,1,,$ 68.00,,,,,1,$ 0.00,1,1125,30,60,90,365,0,,,,,,,,moderate,12,
